,X axis
0,0.16463414
1,0.1685147
2,0.1826908
3,0.17899376
4,0.16442649
5,0.18183617
6,0.19159885
7,0.1701321
8,0.1945235
9,0.18133403
10,0.17475627
11,0.16245028
12,0.17331183
13,0.17842971
14,0.17546345
15,0.1892599
16,0.17232963
17,0.17368811
18,0.16877465
19,0.19517854
20,0.17194006
21,0.16844974
22,0.18111835
23,0.17276016
24,0.19623944
25,0.18129723
26,0.20492598
27,0.20233595
28,0.18726991
29,0.17743815
30,0.20195378
31,0.18967848
32,0.17966568
33,0.19429366
34,0.19042316
35,0.20403595
36,0.20686376
37,0.19538563
38,0.21426289
39,0.22821243
40,0.2146242
41,0.24148855
42,0.2520181
43,0.24440712
44,0.23247415
45,0.26562944
46,0.25811803
47,0.27978942
48,0.2805743
49,0.3644158
50,0.4095627
51,0.44049105
52,0.51516294
53,0.6006365
54,0.6009248
55,0.61410314
56,0.60885924
57,0.6169359
58,0.6447044
59,0.65276325
60,0.6611222
61,0.67760557
62,0.66239834
63,0.6675555
64,0.70874393
65,0.71123797
66,0.7297844
67,0.7247664
68,0.74098194
69,0.70325226
70,0.75350624
71,0.71895653
72,0.7264493
73,0.7444459
74,0.7739414
75,0.78082913
76,0.79121315
77,0.7645981
78,0.7709867
79,0.79288125
80,0.7907105
81,0.8148881
82,0.82795346
83,0.84270424
84,0.8190491
85,0.8451602
86,0.8679471
87,0.8325451
88,0.85613686
89,0.8658161
90,0.86757416
91,0.89482796
92,0.87759256
93,0.8918434
94,0.9088006
95,0.8835683
96,0.88785654
97,0.9016976
98,0.9210426
99,0.9174653
100,0.91647154
101,0.9244491
102,0.95820093
103,0.9535409
104,0.9737047
105,0.96786237
106,0.97710764
107,0.9595313
108,0.95310104
109,0.98863506
110,0.9782545
111,1.0051962
112,1.0144318
113,1.022157
114,1.0019529
115,1.0181671
116,1.0256263
117,1.0235155
118,1.0253606
119,1.0531014
120,1.0418234
121,1.0576832
122,1.0488585
123,1.058477
124,1.0620644
125,1.0674933
126,1.064047
127,1.0688773
128,1.0722588
129,1.10688
130,1.1026992
131,1.1019611
132,1.0841547
133,1.1088833
134,1.1176299
135,1.1111652
136,1.1185557
137,1.1230092
138,1.1095207
139,1.107888
140,1.13208
141,1.1197144
142,1.110556
143,1.1207767
144,1.1210536
145,1.1225625
146,1.1160883
147,1.1150362
148,1.1148243
149,1.0874952
150,1.1126661
151,1.0793062
152,1.0679693
153,1.0741329
154,1.0585048
155,1.0635101
156,1.0816244
157,1.0760475
158,1.0425608
159,1.0563592
160,1.0289448
161,1.0485634
162,1.050575
163,1.0152228
164,1.0371461
165,0.9985794
166,0.9982834
167,1.0073501
168,1.0060167
169,1.0094118
170,1.0054537
171,1.0030378
172,0.97221917
173,0.9888398
174,0.953034
175,0.9610724
176,0.957352
177,0.9449205
178,0.94632936
179,0.9437127
180,0.9182737
181,0.9050838
182,0.9103427
183,0.9017826
184,0.92176354
185,0.9153126
186,0.8909372
187,0.90011
188,0.8782865
189,0.8955934
190,0.8852566
191,0.8787271
192,0.86374545
193,0.8974128
194,0.87755096
195,0.8854438
196,0.8939545
197,0.90393484
198,0.8740757
199,0.8760582
200,0.89739704
201,0.90197515
202,0.8814715
203,0.8859713
204,0.8837888
205,0.9073497
206,0.88243675
207,0.9008184
208,0.8744417
209,0.87684286
210,0.8825131
211,0.88086694
212,0.8656533
213,0.8760692
214,0.90937674
215,0.8672797
216,0.87665904
217,0.876461
218,0.8869142
219,0.86380666
220,0.88308936
221,0.88154566
222,0.89366645
223,0.8946252
224,0.90246636
225,0.88291854
226,0.8652266
227,0.87067825
228,0.8734364
229,0.88331926
230,0.88252854
231,0.9093282
232,0.90498716
233,0.8821021
234,0.8763826
235,0.8872232
236,0.9068689
237,0.93230003
238,0.9211757
239,0.9259626
240,0.90879524
241,0.9379933
242,0.96328247
243,0.9683721
244,0.9720058
245,0.94977754
246,0.93992007
247,0.95290047
248,0.9899322
249,0.98189855
250,0.9736573
251,1.0026779
252,1.0035281
253,1.010801
254,1.0087156
255,1.009301
256,1.0060095
257,0.9826534
258,0.9756363
259,1.0090803
260,1.0084245
261,0.9781787
262,1.0059621
263,0.9847059
264,1.0118659
265,0.9774485
266,0.99920666
267,1.0159614
268,1.0111121
269,0.98537
270,0.9930564
271,1.0062754
272,0.9883415
273,0.9985
274,0.97926563
275,0.9905639
276,0.9900495
277,1.0065708
278,1.013717
279,1.0080949
280,1.0115455
281,1.0128586
282,1.0161114
283,1.0166974
284,0.9854643
285,0.99663943
286,1.0093766
287,0.9785308
288,0.9913839
289,1.0000212
290,0.99982536
291,0.99971294
292,1.0148816
293,1.0112401
294,0.9975599
295,0.97493947
296,1.0128074
297,1.001357
298,0.99246985
299,0.99151814
300,1.0088093
301,1.0047516
302,1.0030581
303,0.99234825
304,1.0129937
305,1.0043783
306,1.0053008
307,0.98883224
308,1.0063269
309,1.0107591
310,0.9816606
311,1.0009668
312,0.980052
313,1.0020506
314,1.0043967
315,0.9967766
316,0.9935182
317,0.9941425
318,0.97915214
319,1.0174114
320,1.0054604
321,1.0160693
322,0.9821202
323,0.9977334
324,0.9985306
325,0.981842
326,0.9972363
327,1.013064
328,1.0137651
329,1.0019381
330,0.99372524
331,0.98990405
332,1.0117143
333,1.0113173
334,0.99965537
335,0.9887157
336,0.9930862
337,0.98795664
338,1.0111878
339,1.0003409
340,1.0067513
341,1.0190655
342,0.987365
343,1.003367
344,0.9771433
345,0.9807881
346,1.0112442
347,0.9912545
348,0.9772293
349,0.9826311
350,0.9817449
351,1.0107836
352,1.014949
353,1.000128
354,0.99736106
355,1.001298
356,1.00484
357,0.98557764
358,0.97132814
359,1.0040747
360,0.9856491
361,0.9882791
362,1.0036436
363,1.010927
364,0.9823873
365,0.9834125
366,1.0033181
367,0.97062325
368,1.0014142
369,1.000442
370,0.9993119
371,0.97254205
372,0.99919224
373,0.9881182
374,0.9863967
375,0.9994458
376,0.9898654
377,0.9747362
378,0.9772722
379,0.99184257
380,0.97261196
381,0.9798543
382,1.0005647
383,0.99830115
384,0.9880687
385,0.9722419
386,0.9567501
387,0.9823547
388,0.9936745
389,0.96537876
390,0.9612366
391,0.9753902
392,0.9758281
393,0.96051574
394,0.9673284
395,0.9632688
396,0.96735334
397,0.9743697
398,0.94233346
399,0.9688088
400,0.9481408
401,0.94995105
402,0.9399031
403,0.9186202
404,0.9116391
405,0.8981077
406,0.8825646
407,0.903051
408,0.887146
409,0.91258234
410,0.88872933
411,0.9105553
412,0.87754405
413,0.8916711
414,0.880291
415,0.9214531
416,0.92011905
417,0.88737184
418,0.91158515
419,0.9267021
420,0.89699614
421,0.90573055
422,0.93190116
423,0.9237829
424,0.92454433
425,0.90023494
426,0.90943474
427,0.89916927
428,0.92860997
429,0.93857944
430,0.9352082
431,0.9232364
432,0.9321832
433,0.92753327
434,0.9483026
435,0.9288164
436,0.9215137
437,0.9481753
438,0.9422825
439,0.9563168
440,0.92562187
441,0.9524983
442,0.94301224
443,0.92123044
444,0.9038648
445,0.8936806
446,0.9064414
447,0.881386
448,0.9029419
449,0.89540565
450,0.86847985
451,0.9014748
452,0.8756281
453,0.8757874
454,0.88012683
455,0.8469386
456,0.8515564
457,0.84079516
458,0.81828743
459,0.82631975
460,0.82326865
461,0.85265136
462,0.8454906
463,0.84446806
464,0.8198889
465,0.8681968
466,0.8267001
467,0.8458789
468,0.8579106
469,0.8505226
470,0.8437471
471,0.8892315
472,0.89794475
473,0.8874114
474,0.86768574
475,0.88641685
476,0.895604
477,0.91869754
478,0.90879744
479,0.93023723
480,0.91218716
481,0.93427044
482,0.92345625
483,0.91678965
484,0.91227245
485,0.94093424
486,0.91195834
487,0.9408705
488,0.952116
489,0.9502467
490,0.96303034
491,0.9391446
492,0.9262598
493,0.94167566
494,0.9371883
495,0.92948383
496,0.9332386
497,0.9572242
498,0.954217
499,0.9207277
500,0.93891364
501,0.93308485
502,0.93412715
503,0.94908595
504,0.93343985
505,0.92331743
506,0.93939286
507,0.9305854
508,0.92506564
509,0.9275087
510,0.94269633
511,0.9209104
512,0.95724833
513,0.9330172
514,0.92847806
515,0.9465522
516,0.9198027
517,0.9253479
518,0.96577364
519,0.9636772
520,0.94429004
521,0.9592264
522,0.98102164
523,0.9850664
524,0.9829336
525,0.9649565
526,1.0051206
527,0.98789746
528,1.0042492
529,1.0148759
530,0.970982
531,0.9852425
532,0.98163
533,0.99712574
534,0.98508567
535,0.97917175
536,0.97874606
537,0.97694
538,0.96917045
539,0.96811813
540,0.9941654
541,0.9809497
542,0.99803114
543,0.9725749
544,0.9624339
545,0.99475586
546,0.9743303
547,0.9845406
548,0.9700706
549,0.97095263
550,0.9714975
551,1.0120641
552,0.97208667
553,0.9762375
554,1.012587
555,1.0187261
556,1.0230079
557,0.99142545
558,1.0145905
559,0.9934419
560,1.0291811
561,0.99342865
562,0.98874885
563,1.0293509
564,1.0222774
565,1.0136602
566,1.0097035
567,1.0184256
568,1.0317415
569,1.0126435
570,1.0073558
571,1.0354425
572,1.0327206
573,1.0185663
574,1.0253057
575,1.0070423
576,1.0077918
577,1.0049137
578,1.0083982
579,0.98259807
580,0.9981246
581,0.97123075
582,0.9889191
583,0.9943295
584,0.9734425
585,0.97571766
586,0.98630947
587,0.96415484
588,0.9646508
589,0.982015
590,0.98644805
591,0.95530546
592,0.99296457
593,0.9894574
594,0.99081963
595,0.9508563
596,0.9819661
597,0.9825846
598,0.9700077
599,0.9523785
600,0.9682887
601,0.9779471
602,0.9898242
603,0.9588839
604,0.9813788
605,0.99328893
606,0.98547655
607,0.9811907
608,0.99191976
609,0.9672523
610,0.95632434
611,0.99163806
612,0.9494444
613,0.98431575
614,0.967668
615,0.97188336
616,0.9818738
617,0.9538516
618,0.9713421
619,0.9781175
620,0.97903323
621,0.96480215
622,0.97214437
623,0.9697004
624,0.96604854
625,0.9677998
626,0.9890693
627,0.98529774
628,0.97719496
629,0.96685874
630,0.9729314
631,0.95310825
632,0.96100175
633,0.97828466
634,0.97550476
635,0.9775634
636,0.94875515
637,0.9784674
638,0.98120254
639,0.967706
640,0.97890586
641,0.9490406
642,0.96851885
643,0.96965975
644,0.97313154
645,0.9919072
646,0.9599961
647,0.9899507
648,0.9713455
649,0.9585819
650,0.9605695
651,0.9879671
652,0.9519041
653,0.97812736
654,0.9814094
655,0.9623033
656,0.97182536
657,0.9792639
658,0.9707056
659,0.94764537
660,0.9911271
661,0.98970246
662,0.9882415
663,0.99314934
664,0.9671724
665,0.9747013
666,0.9586345
667,0.9744093
668,0.9489864
669,0.97550154
670,0.9675212
671,0.97360593
672,0.9741371
673,0.9774683
674,0.97918576
675,0.96109295
676,0.96693385
677,0.97944623
678,0.95658195
679,0.9831991
680,0.9939484
681,0.9536253
682,0.9607522
683,0.9591027
684,0.9630534
685,0.979271
686,0.9969051
687,0.97539544
688,0.9547376
689,0.96081597
690,0.9970039
691,0.99402845
692,0.99902904
693,0.9638757
694,0.9588238
695,0.9819533
696,1.0008911
697,0.9987761
698,0.9841168
699,0.9597676
700,0.96141374
701,0.9598775
702,0.9811147
703,0.9599647
704,0.9893112
705,0.9618676
706,0.9842584
707,0.97578776
708,0.96109617
709,0.9835991
710,0.99653745
711,0.9926965
712,0.9972218
