timestamp,value
"timestamp    2014-05-14 01:14:00
Name: 0, dtype: object",85.9
"timestamp    2014-05-14 01:19:00
Name: 1, dtype: object",88.2
"timestamp    2014-05-14 01:24:00
Name: 2, dtype: object",44.6
"timestamp    2014-05-14 01:29:00
Name: 3, dtype: object",56.28
"timestamp    2014-05-14 01:34:00
Name: 4, dtype: object",36.53
"timestamp    2014-05-14 01:39:00
Name: 5, dtype: object",36.88
"timestamp    2014-05-14 01:44:00
Name: 6, dtype: object",36.8
"timestamp    2014-05-14 01:49:00
Name: 7, dtype: object",36.78
"timestamp    2014-05-14 01:54:00
Name: 8, dtype: object",36.2
"timestamp    2014-05-14 01:59:00
Name: 9, dtype: object",39.0
"timestamp    2014-05-14 02:04:00
Name: 10, dtype: object",49.72
"timestamp    2014-05-14 02:09:00
Name: 11, dtype: object",39.94
"timestamp    2014-05-14 02:14:00
Name: 12, dtype: object",37.06
"timestamp    2014-05-14 02:19:00
Name: 13, dtype: object",36.12
"timestamp    2014-05-14 02:24:00
Name: 14, dtype: object",36.3
"timestamp    2014-05-14 02:29:00
Name: 15, dtype: object",37.38
"timestamp    2014-05-14 02:34:00
Name: 16, dtype: object",36.16
"timestamp    2014-05-14 02:39:00
Name: 17, dtype: object",36.6
"timestamp    2014-05-14 02:44:00
Name: 18, dtype: object",36.66
"timestamp    2014-05-14 02:49:00
Name: 19, dtype: object",35.88
"timestamp    2014-05-14 02:54:00
Name: 20, dtype: object",36.4
"timestamp    2014-05-14 02:59:00
Name: 21, dtype: object",40.28
"timestamp    2014-05-14 03:04:00
Name: 22, dtype: object",49.72
"timestamp    2014-05-14 03:09:00
Name: 23, dtype: object",37.28
"timestamp    2014-05-14 03:14:00
Name: 24, dtype: object",46.5
"timestamp    2014-05-14 03:19:00
Name: 25, dtype: object",38.7
"timestamp    2014-05-14 03:24:00
Name: 26, dtype: object",36.72
"timestamp    2014-05-14 03:29:00
Name: 27, dtype: object",50.7
"timestamp    2014-05-14 03:34:00
Name: 28, dtype: object",38.12
"timestamp    2014-05-14 03:39:00
Name: 29, dtype: object",36.56
"timestamp    2014-05-14 03:44:00
Name: 30, dtype: object",40.3
"timestamp    2014-05-14 03:49:00
Name: 31, dtype: object",37.4
"timestamp    2014-05-14 03:54:00
Name: 32, dtype: object",34.75
"timestamp    2014-05-14 03:59:00
Name: 33, dtype: object",37.4
"timestamp    2014-05-14 04:04:00
Name: 34, dtype: object",71.1
"timestamp    2014-05-14 04:09:00
Name: 35, dtype: object",33.44
"timestamp    2014-05-14 04:14:00
Name: 36, dtype: object",33.5
"timestamp    2014-05-14 04:19:00
Name: 37, dtype: object",31.89
"timestamp    2014-05-14 04:24:00
Name: 38, dtype: object",31.62
"timestamp    2014-05-14 04:29:00
Name: 39, dtype: object",33.4
"timestamp    2014-05-14 04:34:00
Name: 40, dtype: object",32.0
"timestamp    2014-05-14 04:39:00
Name: 41, dtype: object",32.0
"timestamp    2014-05-14 04:44:00
Name: 42, dtype: object",32.0
"timestamp    2014-05-14 04:49:00
Name: 43, dtype: object",31.17
"timestamp    2014-05-14 04:54:00
Name: 44, dtype: object",30.83
"timestamp    2014-05-14 04:59:00
Name: 45, dtype: object",34.0
"timestamp    2014-05-14 05:04:00
Name: 46, dtype: object",45.12
"timestamp    2014-05-14 05:09:00
Name: 47, dtype: object",32.16
"timestamp    2014-05-14 05:14:00
Name: 48, dtype: object",32.53
"timestamp    2014-05-14 05:19:00
Name: 49, dtype: object",31.02
"timestamp    2014-05-14 05:24:00
Name: 50, dtype: object",31.1
"timestamp    2014-05-14 05:29:00
Name: 51, dtype: object",32.7
"timestamp    2014-05-14 05:34:00
Name: 52, dtype: object",30.67
"timestamp    2014-05-14 05:39:00
Name: 53, dtype: object",31.33
"timestamp    2014-05-14 05:44:00
Name: 54, dtype: object",32.28
"timestamp    2014-05-14 05:49:00
Name: 55, dtype: object",30.8
"timestamp    2014-05-14 05:54:00
Name: 56, dtype: object",31.14
"timestamp    2014-05-14 05:59:00
Name: 57, dtype: object",34.16
"timestamp    2014-05-14 06:04:00
Name: 58, dtype: object",44.7
"timestamp    2014-05-14 06:09:00
Name: 59, dtype: object",32.2
"timestamp    2014-05-14 06:14:00
Name: 60, dtype: object",33.62
"timestamp    2014-05-14 06:19:00
Name: 61, dtype: object",31.17
"timestamp    2014-05-14 06:24:00
Name: 62, dtype: object",31.55
"timestamp    2014-05-14 06:29:00
Name: 63, dtype: object",31.97
"timestamp    2014-05-14 06:34:00
Name: 64, dtype: object",31.22
"timestamp    2014-05-14 06:39:00
Name: 65, dtype: object",31.02
"timestamp    2014-05-14 06:44:00
Name: 66, dtype: object",32.2
"timestamp    2014-05-14 06:49:00
Name: 67, dtype: object",31.34
"timestamp    2014-05-14 06:54:00
Name: 68, dtype: object",31.11
"timestamp    2014-05-14 06:59:00
Name: 69, dtype: object",34.4
"timestamp    2014-05-14 07:04:00
Name: 70, dtype: object",44.6
"timestamp    2014-05-14 07:09:00
Name: 71, dtype: object",32.62
"timestamp    2014-05-14 07:14:00
Name: 72, dtype: object",32.22
"timestamp    2014-05-14 07:19:00
Name: 73, dtype: object",30.6
"timestamp    2014-05-14 07:24:00
Name: 74, dtype: object",31.06
"timestamp    2014-05-14 07:29:00
Name: 75, dtype: object",32.34
"timestamp    2014-05-14 07:34:00
Name: 76, dtype: object",31.6
"timestamp    2014-05-14 07:39:00
Name: 77, dtype: object",30.88
