timestamp,value
"timestamp    2013-12-02 21:15:00
Name: 0, dtype: object",73.96732207
"timestamp    2013-12-02 21:20:00
Name: 1, dtype: object",74.93588199999998
"timestamp    2013-12-02 21:25:00
Name: 2, dtype: object",76.12416182
"timestamp    2013-12-02 21:30:00
Name: 3, dtype: object",78.14070732
"timestamp    2013-12-02 21:35:00
Name: 4, dtype: object",79.32983574
"timestamp    2013-12-02 21:40:00
Name: 5, dtype: object",78.71041827
"timestamp    2013-12-02 21:45:00
Name: 6, dtype: object",80.26978421
"timestamp    2013-12-02 21:50:00
Name: 7, dtype: object",80.27282792
"timestamp    2013-12-02 21:55:00
Name: 8, dtype: object",80.35342468
"timestamp    2013-12-02 22:00:00
Name: 9, dtype: object",79.48652315
"timestamp    2013-12-02 22:05:00
Name: 10, dtype: object",80.78327674
"timestamp    2013-12-02 22:10:00
Name: 11, dtype: object",79.50815854
"timestamp    2013-12-02 22:15:00
Name: 12, dtype: object",79.30203285
"timestamp    2013-12-02 22:20:00
Name: 13, dtype: object",80.80262407
"timestamp    2013-12-02 22:25:00
Name: 14, dtype: object",80.37778929
"timestamp    2013-12-02 22:30:00
Name: 15, dtype: object",80.47923735
"timestamp    2013-12-02 22:35:00
Name: 16, dtype: object",81.42356028
"timestamp    2013-12-02 22:40:00
Name: 17, dtype: object",81.37357535
"timestamp    2013-12-02 22:45:00
Name: 18, dtype: object",81.69094215
"timestamp    2013-12-02 22:50:00
Name: 19, dtype: object",80.18124978
"timestamp    2013-12-02 22:55:00
Name: 20, dtype: object",81.76717835
"timestamp    2013-12-02 23:00:00
Name: 21, dtype: object",81.25978065
"timestamp    2013-12-02 23:05:00
Name: 22, dtype: object",80.30293653
"timestamp    2013-12-02 23:10:00
Name: 23, dtype: object",81.11459031
"timestamp    2013-12-02 23:15:00
Name: 24, dtype: object",81.74810877
"timestamp    2013-12-02 23:20:00
Name: 25, dtype: object",81.99460747
"timestamp    2013-12-02 23:25:00
Name: 26, dtype: object",81.2580527
"timestamp    2013-12-02 23:30:00
Name: 27, dtype: object",83.11803871
"timestamp    2013-12-02 23:35:00
Name: 28, dtype: object",81.24702121
"timestamp    2013-12-02 23:40:00
Name: 29, dtype: object",82.73586941
"timestamp    2013-12-02 23:45:00
Name: 30, dtype: object",81.72332602
"timestamp    2013-12-02 23:50:00
Name: 31, dtype: object",81.56235567
"timestamp    2013-12-02 23:55:00
Name: 32, dtype: object",81.43553422
"timestamp    2013-12-03 00:00:00
Name: 33, dtype: object",81.90815592
"timestamp    2013-12-03 00:05:00
Name: 34, dtype: object",82.45575098
"timestamp    2013-12-03 00:10:00
Name: 35, dtype: object",83.02758267
"timestamp    2013-12-03 00:15:00
Name: 36, dtype: object",83.36235646
"timestamp    2013-12-03 00:20:00
Name: 37, dtype: object",81.88701566
"timestamp    2013-12-03 00:25:00
Name: 38, dtype: object",82.88189183
"timestamp    2013-12-03 00:30:00
Name: 39, dtype: object",83.57965349
"timestamp    2013-12-03 00:35:00
Name: 40, dtype: object",83.76141298
"timestamp    2013-12-03 00:40:00
Name: 41, dtype: object",82.30991906
"timestamp    2013-12-03 00:45:00
Name: 42, dtype: object",83.05136903
"timestamp    2013-12-03 00:50:00
Name: 43, dtype: object",83.26333638
"timestamp    2013-12-03 00:55:00
Name: 44, dtype: object",84.09700706
"timestamp    2013-12-03 01:00:00
Name: 45, dtype: object",83.5464428
"timestamp    2013-12-03 01:05:00
Name: 46, dtype: object",83.48998999
"timestamp    2013-12-03 01:10:00
Name: 47, dtype: object",83.43534304
"timestamp    2013-12-03 01:15:00
Name: 48, dtype: object",85.18336642
"timestamp    2013-12-03 01:20:00
Name: 49, dtype: object",85.34462435
"timestamp    2013-12-03 01:25:00
Name: 50, dtype: object",84.67196172
"timestamp    2013-12-03 01:30:00
Name: 51, dtype: object",85.30276155
"timestamp    2013-12-03 01:35:00
Name: 52, dtype: object",84.34921079
"timestamp    2013-12-03 01:40:00
Name: 53, dtype: object",84.55584383
"timestamp    2013-12-03 01:45:00
Name: 54, dtype: object",83.77113659999998
"timestamp    2013-12-03 01:50:00
Name: 55, dtype: object",85.29834063
"timestamp    2013-12-03 01:55:00
Name: 56, dtype: object",85.40014591
"timestamp    2013-12-03 02:00:00
Name: 57, dtype: object",85.10730255
"timestamp    2013-12-03 02:05:00
Name: 58, dtype: object",84.97405668
"timestamp    2013-12-03 02:10:00
Name: 59, dtype: object",85.43784202
"timestamp    2013-12-03 02:15:00
Name: 60, dtype: object",84.83484013
"timestamp    2013-12-03 02:20:00
Name: 61, dtype: object",84.94715827
"timestamp    2013-12-03 02:25:00
Name: 62, dtype: object",86.16861901
"timestamp    2013-12-03 02:30:00
Name: 63, dtype: object",86.37621858
"timestamp    2013-12-03 02:35:00
Name: 64, dtype: object",86.3421685
"timestamp    2013-12-03 02:40:00
Name: 65, dtype: object",86.61918376
"timestamp    2013-12-03 02:45:00
Name: 66, dtype: object",86.30151068
"timestamp    2013-12-03 02:50:00
Name: 67, dtype: object",86.57173751
"timestamp    2013-12-03 02:55:00
Name: 68, dtype: object",86.48675455
"timestamp    2013-12-03 03:00:00
Name: 69, dtype: object",87.52018696
"timestamp    2013-12-03 03:05:00
Name: 70, dtype: object",87.00908412
"timestamp    2013-12-03 03:10:00
Name: 71, dtype: object",86.96641259
"timestamp    2013-12-03 03:15:00
Name: 72, dtype: object",88.62366147
"timestamp    2013-12-03 03:20:00
Name: 73, dtype: object",88.59942914
"timestamp    2013-12-03 03:25:00
Name: 74, dtype: object",89.44293245
"timestamp    2013-12-03 03:30:00
Name: 75, dtype: object",87.98565262
"timestamp    2013-12-03 03:35:00
Name: 76, dtype: object",89.75558903
"timestamp    2013-12-03 03:40:00
Name: 77, dtype: object",88.80257312
"timestamp    2013-12-03 03:45:00
Name: 78, dtype: object",89.7298597
"timestamp    2013-12-03 03:50:00
Name: 79, dtype: object",90.22009915
"timestamp    2013-12-03 03:55:00
Name: 80, dtype: object",89.44223536
"timestamp    2013-12-03 04:00:00
Name: 81, dtype: object",90.50690649
"timestamp    2013-12-03 04:05:00
Name: 82, dtype: object",90.89985471
"timestamp    2013-12-03 04:10:00
Name: 83, dtype: object",89.52273909
"timestamp    2013-12-03 04:15:00
Name: 84, dtype: object",90.79023919
"timestamp    2013-12-03 04:20:00
Name: 85, dtype: object",91.52798129
"timestamp    2013-12-03 04:25:00
Name: 86, dtype: object",90.30234442
"timestamp    2013-12-03 04:30:00
Name: 87, dtype: object",91.69464161
"timestamp    2013-12-03 04:35:00
Name: 88, dtype: object",90.61223839
"timestamp    2013-12-03 04:40:00
Name: 89, dtype: object",91.35611449
"timestamp    2013-12-03 04:45:00
Name: 90, dtype: object",91.1192753
"timestamp    2013-12-03 04:50:00
Name: 91, dtype: object",92.2779806
"timestamp    2013-12-03 04:55:00
Name: 92, dtype: object",91.93466396
"timestamp    2013-12-03 05:00:00
Name: 93, dtype: object",91.26341409
"timestamp    2013-12-03 05:05:00
Name: 94, dtype: object",91.03317052
"timestamp    2013-12-03 05:10:00
Name: 95, dtype: object",90.54178741
"timestamp    2013-12-03 05:15:00
Name: 96, dtype: object",89.31712427
"timestamp    2013-12-03 05:20:00
Name: 97, dtype: object",88.60863427
"timestamp    2013-12-03 05:25:00
Name: 98, dtype: object",88.00860982
"timestamp    2013-12-03 05:30:00
Name: 99, dtype: object",87.98743420000002
"timestamp    2013-12-03 05:35:00
Name: 100, dtype: object",87.62276247
"timestamp    2013-12-03 05:40:00
Name: 101, dtype: object",86.35545122
"timestamp    2013-12-03 05:45:00
Name: 102, dtype: object",86.69530437
"timestamp    2013-12-03 05:50:00
Name: 103, dtype: object",84.67963832
"timestamp    2013-12-03 05:55:00
Name: 104, dtype: object",84.07484551
"timestamp    2013-12-03 06:00:00
Name: 105, dtype: object",84.35696223
"timestamp    2013-12-03 06:05:00
Name: 106, dtype: object",84.58044581
"timestamp    2013-12-03 06:10:00
Name: 107, dtype: object",82.68818775
"timestamp    2013-12-03 06:15:00
Name: 108, dtype: object",82.69563236
"timestamp    2013-12-03 06:20:00
Name: 109, dtype: object",83.76512879
"timestamp    2013-12-03 06:25:00
Name: 110, dtype: object",82.98957536
"timestamp    2013-12-03 06:30:00
Name: 111, dtype: object",82.23041088
"timestamp    2013-12-03 06:35:00
Name: 112, dtype: object",83.88653506
"timestamp    2013-12-03 06:40:00
Name: 113, dtype: object",81.89958882
"timestamp    2013-12-03 06:45:00
Name: 114, dtype: object",81.51452457
"timestamp    2013-12-03 06:50:00
Name: 115, dtype: object",82.75784339
"timestamp    2013-12-03 06:55:00
Name: 116, dtype: object",82.38401128
