timestamp,value
"timestamp    2013-12-02 21:15:00
Name: 0, dtype: object",73.94
"timestamp    2013-12-02 21:20:00
Name: 1, dtype: object",74.94
"timestamp    2013-12-02 21:25:00
Name: 2, dtype: object",76.1
"timestamp    2013-12-02 21:30:00
Name: 3, dtype: object",78.1
"timestamp    2013-12-02 21:35:00
Name: 4, dtype: object",79.3
"timestamp    2013-12-02 21:40:00
Name: 5, dtype: object",78.7
"timestamp    2013-12-02 21:45:00
Name: 6, dtype: object",80.3
"timestamp    2013-12-02 21:50:00
Name: 7, dtype: object",80.3
"timestamp    2013-12-02 21:55:00
Name: 8, dtype: object",80.4
"timestamp    2013-12-02 22:00:00
Name: 9, dtype: object",79.5
"timestamp    2013-12-02 22:05:00
Name: 10, dtype: object",80.75
"timestamp    2013-12-02 22:10:00
Name: 11, dtype: object",79.5
"timestamp    2013-12-02 22:15:00
Name: 12, dtype: object",79.3
"timestamp    2013-12-02 22:20:00
Name: 13, dtype: object",80.8
"timestamp    2013-12-02 22:25:00
Name: 14, dtype: object",80.4
"timestamp    2013-12-02 22:30:00
Name: 15, dtype: object",80.44
"timestamp    2013-12-02 22:35:00
Name: 16, dtype: object",81.44
"timestamp    2013-12-02 22:40:00
Name: 17, dtype: object",81.4
"timestamp    2013-12-02 22:45:00
Name: 18, dtype: object",81.7
"timestamp    2013-12-02 22:50:00
Name: 19, dtype: object",80.2
"timestamp    2013-12-02 22:55:00
Name: 20, dtype: object",81.75
"timestamp    2013-12-02 23:00:00
Name: 21, dtype: object",81.25
"timestamp    2013-12-02 23:05:00
Name: 22, dtype: object",80.3
"timestamp    2013-12-02 23:10:00
Name: 23, dtype: object",81.1
"timestamp    2013-12-02 23:15:00
Name: 24, dtype: object",81.75
"timestamp    2013-12-02 23:20:00
Name: 25, dtype: object",82.0
"timestamp    2013-12-02 23:25:00
Name: 26, dtype: object",81.25
"timestamp    2013-12-02 23:30:00
Name: 27, dtype: object",83.1
"timestamp    2013-12-02 23:35:00
Name: 28, dtype: object",81.25
"timestamp    2013-12-02 23:40:00
Name: 29, dtype: object",82.75
"timestamp    2013-12-02 23:45:00
Name: 30, dtype: object",81.75
"timestamp    2013-12-02 23:50:00
Name: 31, dtype: object",81.56
"timestamp    2013-12-02 23:55:00
Name: 32, dtype: object",81.44
"timestamp    2013-12-03 00:00:00
Name: 33, dtype: object",81.9
"timestamp    2013-12-03 00:05:00
Name: 34, dtype: object",82.44
"timestamp    2013-12-03 00:10:00
Name: 35, dtype: object",83.0
"timestamp    2013-12-03 00:15:00
Name: 36, dtype: object",83.4
"timestamp    2013-12-03 00:20:00
Name: 37, dtype: object",81.9
"timestamp    2013-12-03 00:25:00
Name: 38, dtype: object",82.9
"timestamp    2013-12-03 00:30:00
Name: 39, dtype: object",83.56
"timestamp    2013-12-03 00:35:00
Name: 40, dtype: object",83.8
"timestamp    2013-12-03 00:40:00
Name: 41, dtype: object",82.3
"timestamp    2013-12-03 00:45:00
Name: 42, dtype: object",83.06
"timestamp    2013-12-03 00:50:00
Name: 43, dtype: object",83.25
"timestamp    2013-12-03 00:55:00
Name: 44, dtype: object",84.1
"timestamp    2013-12-03 01:00:00
Name: 45, dtype: object",83.56
"timestamp    2013-12-03 01:05:00
Name: 46, dtype: object",83.5
"timestamp    2013-12-03 01:10:00
Name: 47, dtype: object",83.44
"timestamp    2013-12-03 01:15:00
Name: 48, dtype: object",85.2
"timestamp    2013-12-03 01:20:00
Name: 49, dtype: object",85.4
"timestamp    2013-12-03 01:25:00
Name: 50, dtype: object",84.7
"timestamp    2013-12-03 01:30:00
Name: 51, dtype: object",85.3
"timestamp    2013-12-03 01:35:00
Name: 52, dtype: object",84.4
"timestamp    2013-12-03 01:40:00
Name: 53, dtype: object",84.56
"timestamp    2013-12-03 01:45:00
Name: 54, dtype: object",83.8
"timestamp    2013-12-03 01:50:00
Name: 55, dtype: object",85.3
"timestamp    2013-12-03 01:55:00
Name: 56, dtype: object",85.4
"timestamp    2013-12-03 02:00:00
Name: 57, dtype: object",85.1
"timestamp    2013-12-03 02:05:00
Name: 58, dtype: object",85.0
"timestamp    2013-12-03 02:10:00
Name: 59, dtype: object",85.44
"timestamp    2013-12-03 02:15:00
Name: 60, dtype: object",84.8
"timestamp    2013-12-03 02:20:00
Name: 61, dtype: object",84.94
"timestamp    2013-12-03 02:25:00
Name: 62, dtype: object",86.2
"timestamp    2013-12-03 02:30:00
Name: 63, dtype: object",86.4
"timestamp    2013-12-03 02:35:00
Name: 64, dtype: object",86.4
"timestamp    2013-12-03 02:40:00
Name: 65, dtype: object",86.6
"timestamp    2013-12-03 02:45:00
Name: 66, dtype: object",86.3
"timestamp    2013-12-03 02:50:00
Name: 67, dtype: object",86.56
"timestamp    2013-12-03 02:55:00
Name: 68, dtype: object",86.5
"timestamp    2013-12-03 03:00:00
Name: 69, dtype: object",87.5
"timestamp    2013-12-03 03:05:00
Name: 70, dtype: object",87.0
"timestamp    2013-12-03 03:10:00
Name: 71, dtype: object",87.0
"timestamp    2013-12-03 03:15:00
Name: 72, dtype: object",88.6
"timestamp    2013-12-03 03:20:00
Name: 73, dtype: object",88.56
"timestamp    2013-12-03 03:25:00
Name: 74, dtype: object",89.44
"timestamp    2013-12-03 03:30:00
Name: 75, dtype: object",88.0
"timestamp    2013-12-03 03:35:00
Name: 76, dtype: object",89.75
"timestamp    2013-12-03 03:40:00
Name: 77, dtype: object",88.8
"timestamp    2013-12-03 03:45:00
Name: 78, dtype: object",89.7
"timestamp    2013-12-03 03:50:00
Name: 79, dtype: object",90.2
"timestamp    2013-12-03 03:55:00
Name: 80, dtype: object",89.44
"timestamp    2013-12-03 04:00:00
Name: 81, dtype: object",90.5
"timestamp    2013-12-03 04:05:00
Name: 82, dtype: object",90.94
"timestamp    2013-12-03 04:10:00
Name: 83, dtype: object",89.56
"timestamp    2013-12-03 04:15:00
Name: 84, dtype: object",90.8
"timestamp    2013-12-03 04:20:00
Name: 85, dtype: object",91.56
"timestamp    2013-12-03 04:25:00
Name: 86, dtype: object",90.3
"timestamp    2013-12-03 04:30:00
Name: 87, dtype: object",91.7
"timestamp    2013-12-03 04:35:00
Name: 88, dtype: object",90.6
"timestamp    2013-12-03 04:40:00
Name: 89, dtype: object",91.4
"timestamp    2013-12-03 04:45:00
Name: 90, dtype: object",91.1
"timestamp    2013-12-03 04:50:00
Name: 91, dtype: object",92.3
"timestamp    2013-12-03 04:55:00
Name: 92, dtype: object",91.94
"timestamp    2013-12-03 05:00:00
Name: 93, dtype: object",91.3
"timestamp    2013-12-03 05:05:00
Name: 94, dtype: object",91.0
"timestamp    2013-12-03 05:10:00
Name: 95, dtype: object",90.56
"timestamp    2013-12-03 05:15:00
Name: 96, dtype: object",89.3
"timestamp    2013-12-03 05:20:00
Name: 97, dtype: object",88.56
"timestamp    2013-12-03 05:25:00
Name: 98, dtype: object",88.0
"timestamp    2013-12-03 05:30:00
Name: 99, dtype: object",88.0
"timestamp    2013-12-03 05:35:00
Name: 100, dtype: object",87.6
"timestamp    2013-12-03 05:40:00
Name: 101, dtype: object",86.4
"timestamp    2013-12-03 05:45:00
Name: 102, dtype: object",86.7
"timestamp    2013-12-03 05:50:00
Name: 103, dtype: object",84.7
"timestamp    2013-12-03 05:55:00
Name: 104, dtype: object",84.1
"timestamp    2013-12-03 06:00:00
Name: 105, dtype: object",84.4
"timestamp    2013-12-03 06:05:00
Name: 106, dtype: object",84.6
"timestamp    2013-12-03 06:10:00
Name: 107, dtype: object",82.7
"timestamp    2013-12-03 06:15:00
Name: 108, dtype: object",82.7
"timestamp    2013-12-03 06:20:00
Name: 109, dtype: object",83.8
"timestamp    2013-12-03 06:25:00
Name: 110, dtype: object",83.0
"timestamp    2013-12-03 06:30:00
Name: 111, dtype: object",82.2
"timestamp    2013-12-03 06:35:00
Name: 112, dtype: object",83.9
"timestamp    2013-12-03 06:40:00
Name: 113, dtype: object",81.9
"timestamp    2013-12-03 06:45:00
Name: 114, dtype: object",81.56
"timestamp    2013-12-03 06:50:00
Name: 115, dtype: object",82.75
"timestamp    2013-12-03 06:55:00
Name: 116, dtype: object",82.4
"timestamp    2013-12-03 07:00:00
Name: 117, dtype: object",83.2
"timestamp    2013-12-03 07:05:00
Name: 118, dtype: object",82.9
"timestamp    2013-12-03 07:10:00
Name: 119, dtype: object",80.8
"timestamp    2013-12-03 07:15:00
Name: 120, dtype: object",80.6
"timestamp    2013-12-03 07:20:00
Name: 121, dtype: object",82.4
"timestamp    2013-12-03 07:25:00
Name: 122, dtype: object",82.1
"timestamp    2013-12-03 07:30:00
Name: 123, dtype: object",81.5
"timestamp    2013-12-03 07:35:00
Name: 124, dtype: object",80.3
"timestamp    2013-12-03 07:40:00
Name: 125, dtype: object",81.4
"timestamp    2013-12-03 07:45:00
Name: 126, dtype: object",82.56
"timestamp    2013-12-03 07:50:00
Name: 127, dtype: object",83.7
"timestamp    2013-12-03 07:55:00
Name: 128, dtype: object",82.3
"timestamp    2013-12-03 08:00:00
Name: 129, dtype: object",84.0
