timestamp,value
"timestamp    2013-07-04 00:00:00
Name: 0, dtype: object",69.94
"timestamp    2013-07-04 01:00:00
Name: 1, dtype: object",71.2
"timestamp    2013-07-04 02:00:00
Name: 2, dtype: object",70.9
"timestamp    2013-07-04 03:00:00
Name: 3, dtype: object",68.94
"timestamp    2013-07-04 04:00:00
Name: 4, dtype: object",69.3
"timestamp    2013-07-04 05:00:00
Name: 5, dtype: object",70.06
"timestamp    2013-07-04 06:00:00
Name: 6, dtype: object",69.25
"timestamp    2013-07-04 07:00:00
Name: 7, dtype: object",69.4
"timestamp    2013-07-04 08:00:00
Name: 8, dtype: object",69.2
"timestamp    2013-07-04 09:00:00
Name: 9, dtype: object",69.0
"timestamp    2013-07-04 10:00:00
Name: 10, dtype: object",69.94
"timestamp    2013-07-04 11:00:00
Name: 11, dtype: object",70.56
"timestamp    2013-07-04 12:00:00
Name: 12, dtype: object",70.3
"timestamp    2013-07-04 13:00:00
Name: 13, dtype: object",70.25
"timestamp    2013-07-04 14:00:00
Name: 14, dtype: object",69.9
"timestamp    2013-07-04 15:00:00
Name: 15, dtype: object",71.6
"timestamp    2013-07-04 16:00:00
Name: 16, dtype: object",71.25
"timestamp    2013-07-04 17:00:00
Name: 17, dtype: object",70.75
"timestamp    2013-07-04 18:00:00
Name: 18, dtype: object",71.4
"timestamp    2013-07-04 19:00:00
Name: 19, dtype: object",71.8
"timestamp    2013-07-04 20:00:00
Name: 20, dtype: object",72.1
"timestamp    2013-07-04 21:00:00
Name: 21, dtype: object",71.56
"timestamp    2013-07-04 22:00:00
Name: 22, dtype: object",72.2
"timestamp    2013-07-04 23:00:00
Name: 23, dtype: object",70.7
"timestamp    2013-07-05 00:00:00
Name: 24, dtype: object",71.3
"timestamp    2013-07-05 01:00:00
Name: 25, dtype: object",71.56
"timestamp    2013-07-05 02:00:00
Name: 26, dtype: object",71.0
"timestamp    2013-07-05 03:00:00
Name: 27, dtype: object",70.25
"timestamp    2013-07-05 04:00:00
Name: 28, dtype: object",70.44
"timestamp    2013-07-05 05:00:00
Name: 29, dtype: object",69.75
"timestamp    2013-07-05 06:00:00
Name: 30, dtype: object",68.75
"timestamp    2013-07-05 07:00:00
Name: 31, dtype: object",69.4
"timestamp    2013-07-05 08:00:00
Name: 32, dtype: object",68.8
"timestamp    2013-07-05 09:00:00
Name: 33, dtype: object",70.3
"timestamp    2013-07-05 10:00:00
Name: 34, dtype: object",70.3
"timestamp    2013-07-05 11:00:00
Name: 35, dtype: object",72.5
"timestamp    2013-07-05 12:00:00
Name: 36, dtype: object",71.6
"timestamp    2013-07-05 13:00:00
Name: 37, dtype: object",72.94
"timestamp    2013-07-05 14:00:00
Name: 38, dtype: object",72.6
"timestamp    2013-07-05 15:00:00
Name: 39, dtype: object",72.94
"timestamp    2013-07-05 16:00:00
Name: 40, dtype: object",72.2
"timestamp    2013-07-05 17:00:00
Name: 41, dtype: object",72.2
"timestamp    2013-07-05 18:00:00
Name: 42, dtype: object",72.3
"timestamp    2013-07-05 19:00:00
Name: 43, dtype: object",72.4
"timestamp    2013-07-05 20:00:00
Name: 44, dtype: object",72.6
"timestamp    2013-07-05 21:00:00
Name: 45, dtype: object",72.75
"timestamp    2013-07-05 22:00:00
Name: 46, dtype: object",71.94
"timestamp    2013-07-05 23:00:00
Name: 47, dtype: object",71.56
"timestamp    2013-07-06 00:00:00
Name: 48, dtype: object",71.6
"timestamp    2013-07-06 01:00:00
Name: 49, dtype: object",70.6
"timestamp    2013-07-06 02:00:00
Name: 50, dtype: object",70.9
"timestamp    2013-07-06 03:00:00
Name: 51, dtype: object",71.1
"timestamp    2013-07-06 04:00:00
Name: 52, dtype: object",70.9
"timestamp    2013-07-06 05:00:00
Name: 53, dtype: object",70.2
"timestamp    2013-07-06 06:00:00
Name: 54, dtype: object",70.1
"timestamp    2013-07-06 07:00:00
Name: 55, dtype: object",69.94
"timestamp    2013-07-06 08:00:00
Name: 56, dtype: object",69.3
"timestamp    2013-07-06 09:00:00
Name: 57, dtype: object",69.75
"timestamp    2013-07-06 10:00:00
Name: 58, dtype: object",68.2
"timestamp    2013-07-06 11:00:00
Name: 59, dtype: object",68.9
"timestamp    2013-07-06 12:00:00
Name: 60, dtype: object",67.3
"timestamp    2013-07-06 13:00:00
Name: 61, dtype: object",66.94
"timestamp    2013-07-06 14:00:00
Name: 62, dtype: object",67.75
"timestamp    2013-07-06 15:00:00
Name: 63, dtype: object",66.94
"timestamp    2013-07-06 16:00:00
Name: 64, dtype: object",67.56
"timestamp    2013-07-06 17:00:00
Name: 65, dtype: object",67.2
"timestamp    2013-07-06 18:00:00
Name: 66, dtype: object",68.0
"timestamp    2013-07-06 19:00:00
Name: 67, dtype: object",67.25
"timestamp    2013-07-06 20:00:00
Name: 68, dtype: object",66.56
"timestamp    2013-07-06 21:00:00
Name: 69, dtype: object",67.9
"timestamp    2013-07-06 22:00:00
Name: 70, dtype: object",67.3
"timestamp    2013-07-06 23:00:00
Name: 71, dtype: object",67.2
"timestamp    2013-07-07 00:00:00
Name: 72, dtype: object",66.3
"timestamp    2013-07-07 01:00:00
Name: 73, dtype: object",66.0
"timestamp    2013-07-07 02:00:00
Name: 74, dtype: object",65.3
"timestamp    2013-07-07 03:00:00
Name: 75, dtype: object",65.44
"timestamp    2013-07-07 04:00:00
Name: 76, dtype: object",66.75
"timestamp    2013-07-07 05:00:00
Name: 77, dtype: object",64.7
"timestamp    2013-07-07 06:00:00
Name: 78, dtype: object",64.56
"timestamp    2013-07-07 07:00:00
Name: 79, dtype: object",66.1
"timestamp    2013-07-07 08:00:00
Name: 80, dtype: object",66.1
"timestamp    2013-07-07 09:00:00
Name: 81, dtype: object",65.0
"timestamp    2013-07-07 10:00:00
Name: 82, dtype: object",64.3
"timestamp    2013-07-07 11:00:00
Name: 83, dtype: object",65.5
"timestamp    2013-07-07 12:00:00
Name: 84, dtype: object",63.9
"timestamp    2013-07-07 13:00:00
Name: 85, dtype: object",65.06
"timestamp    2013-07-07 14:00:00
Name: 86, dtype: object",64.0
"timestamp    2013-07-07 15:00:00
Name: 87, dtype: object",64.25
"timestamp    2013-07-07 16:00:00
Name: 88, dtype: object",63.9
"timestamp    2013-07-07 17:00:00
Name: 89, dtype: object",64.1
"timestamp    2013-07-07 18:00:00
Name: 90, dtype: object",64.2
"timestamp    2013-07-07 19:00:00
Name: 91, dtype: object",63.12
"timestamp    2013-07-07 20:00:00
Name: 92, dtype: object",63.38
"timestamp    2013-07-07 21:00:00
Name: 93, dtype: object",63.97
"timestamp    2013-07-07 22:00:00
Name: 94, dtype: object",62.66
"timestamp    2013-07-07 23:00:00
Name: 95, dtype: object",64.25
"timestamp    2013-07-08 00:00:00
Name: 96, dtype: object",62.47
"timestamp    2013-07-08 01:00:00
Name: 97, dtype: object",62.0
"timestamp    2013-07-08 02:00:00
Name: 98, dtype: object",63.44
"timestamp    2013-07-08 03:00:00
Name: 99, dtype: object",61.72
"timestamp    2013-07-08 04:00:00
Name: 100, dtype: object",62.78
"timestamp    2013-07-08 05:00:00
Name: 101, dtype: object",61.34
"timestamp    2013-07-08 06:00:00
Name: 102, dtype: object",61.72
"timestamp    2013-07-08 07:00:00
Name: 103, dtype: object",62.2
"timestamp    2013-07-08 08:00:00
Name: 104, dtype: object",62.97
"timestamp    2013-07-08 09:00:00
Name: 105, dtype: object",64.44
"timestamp    2013-07-08 10:00:00
Name: 106, dtype: object",65.3
"timestamp    2013-07-08 11:00:00
Name: 107, dtype: object",66.5
"timestamp    2013-07-08 12:00:00
Name: 108, dtype: object",67.9
"timestamp    2013-07-08 13:00:00
Name: 109, dtype: object",67.25
"timestamp    2013-07-08 14:00:00
Name: 110, dtype: object",68.06
"timestamp    2013-07-08 15:00:00
Name: 111, dtype: object",68.56
"timestamp    2013-07-08 16:00:00
Name: 112, dtype: object",70.3
"timestamp    2013-07-08 17:00:00
Name: 113, dtype: object",70.5
"timestamp    2013-07-08 18:00:00
Name: 114, dtype: object",72.3
"timestamp    2013-07-08 19:00:00
Name: 115, dtype: object",71.2
"timestamp    2013-07-08 20:00:00
Name: 116, dtype: object",70.75
"timestamp    2013-07-08 21:00:00
Name: 117, dtype: object",70.56
"timestamp    2013-07-08 22:00:00
Name: 118, dtype: object",68.9
"timestamp    2013-07-08 23:00:00
Name: 119, dtype: object",68.4
"timestamp    2013-07-09 00:00:00
Name: 120, dtype: object",68.44
"timestamp    2013-07-09 01:00:00
Name: 121, dtype: object",67.56
"timestamp    2013-07-09 02:00:00
Name: 122, dtype: object",66.44
"timestamp    2013-07-09 03:00:00
Name: 123, dtype: object",66.0
"timestamp    2013-07-09 04:00:00
Name: 124, dtype: object",64.9
"timestamp    2013-07-09 05:00:00
Name: 125, dtype: object",65.8
"timestamp    2013-07-09 06:00:00
Name: 126, dtype: object",65.7
"timestamp    2013-07-09 07:00:00
Name: 127, dtype: object",66.2
"timestamp    2013-07-09 08:00:00
Name: 128, dtype: object",67.5
"timestamp    2013-07-09 09:00:00
Name: 129, dtype: object",67.44
"timestamp    2013-07-09 10:00:00
Name: 130, dtype: object",68.5
"timestamp    2013-07-09 11:00:00
Name: 131, dtype: object",69.94
"timestamp    2013-07-09 12:00:00
Name: 132, dtype: object",70.7
"timestamp    2013-07-09 13:00:00
Name: 133, dtype: object",69.44
"timestamp    2013-07-09 14:00:00
Name: 134, dtype: object",70.2
"timestamp    2013-07-09 15:00:00
Name: 135, dtype: object",70.2
"timestamp    2013-07-09 16:00:00
Name: 136, dtype: object",71.56
"timestamp    2013-07-09 17:00:00
Name: 137, dtype: object",71.56
"timestamp    2013-07-09 18:00:00
Name: 138, dtype: object",71.06
"timestamp    2013-07-09 19:00:00
Name: 139, dtype: object",72.8
"timestamp    2013-07-09 20:00:00
Name: 140, dtype: object",71.1
"timestamp    2013-07-09 21:00:00
Name: 141, dtype: object",69.75
"timestamp    2013-07-09 22:00:00
Name: 142, dtype: object",69.2
"timestamp    2013-07-09 23:00:00
Name: 143, dtype: object",69.3
"timestamp    2013-07-10 00:00:00
Name: 144, dtype: object",68.8
"timestamp    2013-07-10 01:00:00
Name: 145, dtype: object",68.56
"timestamp    2013-07-10 02:00:00
Name: 146, dtype: object",67.7
"timestamp    2013-07-10 03:00:00
Name: 147, dtype: object",67.8
"timestamp    2013-07-10 04:00:00
Name: 148, dtype: object",66.94
"timestamp    2013-07-10 05:00:00
Name: 149, dtype: object",65.9
"timestamp    2013-07-10 06:00:00
Name: 150, dtype: object",66.2
"timestamp    2013-07-10 07:00:00
Name: 151, dtype: object",65.8
"timestamp    2013-07-10 08:00:00
Name: 152, dtype: object",67.4
"timestamp    2013-07-10 09:00:00
Name: 153, dtype: object",67.4
"timestamp    2013-07-10 10:00:00
Name: 154, dtype: object",69.75
"timestamp    2013-07-10 11:00:00
Name: 155, dtype: object",69.94
"timestamp    2013-07-10 12:00:00
Name: 156, dtype: object",70.6
"timestamp    2013-07-10 13:00:00
Name: 157, dtype: object",70.06
"timestamp    2013-07-10 14:00:00
Name: 158, dtype: object",71.06
